date,strat_ret,bench_ret,mom12_ret,pi,year
2014-09-30,0.014049924196672154,0.0072673914206843465,-0.02098166910907958,0.0024397672423468533,2014
2014-10-31,0.06535051771550561,0.05608195302583163,0.040086007324181015,0.002435222187010847,2014
2014-11-30,-0.002882597898575795,-0.0007562465403640009,0.000255272513394018,0.0024350910789174983,2014
2014-12-31,0.046478888033287646,0.008336321577281203,0.03142650826690774,0.002435087288630831,2014
2015-01-31,0.1031094249405257,0.0757281538136719,0.0716676000523682,0.002254332209817572,2015
2015-02-28,0.029438183148059977,0.022339951852738533,0.023175179369328044,0.0022543322069040516,2015
2015-03-31,0.013545452816341308,0.02889393911492455,-0.008746405555651517,0.002254332206819155,2015
2015-04-30,0.060822208724558506,0.049767477723483035,0.04080662279527937,0.002254332206816677,2015
2015-05-31,-0.015183988519484933,-0.023109515237154165,0.006267782394562482,0.002254332206816598,2015
2015-06-30,0.02020634322413153,0.021918463428145907,0.0014612417003090137,0.0029260116386733994,2015
2015-07-31,-0.09465549738928598,-0.07541005782118908,-0.07792133082181829,0.00227529202716183,2015
2015-08-31,-0.06592867240979133,-0.07371033277243032,-0.09076541690382431,0.01887360472589185,2015
2015-09-30,0.07941654454522712,0.10301276571611262,0.062143330685346915,0.7307477490071627,2015
2015-10-31,0.01884669560330862,0.01636331309107742,0.04352635811020928,0.19155719140604377,2015
2015-11-30,-0.026522219060711835,-0.0182720208875646,-0.024169211010543812,0.017044555388454664,2015
2015-12-31,-0.07863977196657253,-0.06702833848124443,-0.07011472536547518,0.009407566988081841,2015
2016-01-31,-0.07469696500391294,-0.08755698290378437,-0.057338013468098414,0.289810744511352,2016
2016-02-29,0.0532945877338749,0.04584136066739965,0.08727859436313773,0.9998395412217552,2016
2016-03-31,-5.37292216098292e-05,-0.005523435609019554,-0.002368712162442531,0.999384853353508,2016
2016-04-30,0.04768732709238987,0.029115447671882337,0.03308604288122321,0.9996457589976363,2016
2016-05-31,-0.07008655440303223,-0.09037521800164418,-0.06014506889122244,0.996468934422283,2016
2016-06-30,0.02708787538112065,0.05724872504270661,-0.028058158386973064,0.9999994692426054,2016
2016-07-31,0.0005725876870726562,0.000896505968785231,-0.1311385100028599,0.9968303838229636,2016
2016-08-31,0.033175671295665475,0.003677641981071396,0.052970937517533075,0.9970687033255973,2016
2016-09-30,0.0374030417276538,0.04840872912554865,0.03223246172623296,0.9950608163301485,2016
2016-10-31,0.03012868842549006,0.049165993071862854,0.012401970451656525,0.8913446119533238,2016
2016-11-30,0.05680687976237997,0.03604170310522821,0.022491672788357828,0.19021065386532549,2016
2016-12-31,0.027704936219497264,0.0001605977859814693,-4.0767677874927995e-05,0.008695100056942436,2016
2017-01-31,-0.0030019705851175625,0.008050267990851288,0.012565886388350996,0.002928640734641619,2017
2017-02-28,-0.002771755318151199,-0.004111375952644169,0.017339336277743193,0.0026484946465640045,2017
2017-03-31,-0.0024761653083543184,0.01171377912386688,0.003942793672576604,0.002690360135548005,2017
2017-04-30,0.04021555408048062,0.023598471392745,0.03649320706444172,0.0026407559842623533,2017
2017-05-31,0.016173019992523976,0.0250647213440254,0.03593100971392918,0.00263915554604417,2017
2017-06-30,0.016438791451033427,0.0027248091379348145,0.015160918239179632,0.002639103854139858,2017
2017-07-31,0.0395026170669108,-0.0011465142848006748,-0.00985700267864528,0.002639102182702566,2017
2017-08-31,0.04841278674690006,0.040545353586424616,0.07282595983346088,0.002639102128596776,2017
2017-09-30,0.051111990163949204,0.05279907657287607,0.059523989704667775,0.002639102126843334,2017
2017-10-31,0.023712122131743812,0.017636005601275682,0.014646503538594102,0.0026391021267864623,2017
2017-11-30,0.010969731737926014,0.01265837826053322,0.0037385661362332005,0.002639102126784606,2017
2017-12-31,0.011231044953955677,0.011966785297342873,0.02003945004101914,0.002639102126784551,2017
2018-01-31,-0.03909635529354431,-0.0361947299430056,-0.007262306247012928,0.005064652714598918,2018
2018-02-28,-0.03076658995785874,-0.01752993995201299,-0.02188811944803236,0.014523198865264639,2018
2018-03-31,-0.007018242579082041,0.03428532578964023,-0.015056403444994959,0.06094670888034402,2018
2018-04-30,0.04681890388836566,-0.015825516714545393,0.05047775563024031,0.011184692183913684,2018
2018-05-31,0.012120238592505066,-0.006698388824587684,-0.04441623983343898,0.01644632428660543,2018
2018-06-30,-0.015894805158443936,0.011601640571820223,-0.043974247715272474,0.028325209257203242,2018
2018-07-31,-0.001760015297888463,-0.008916066167399405,0.0031164927851148783,0.015605491208972653,2018
2018-08-31,0.04004028947609812,0.05501255163586712,0.07542242206303451,0.025492140586883136,2018
