name,combo,passed,min_ess,n_sig,pi_Dot-com,pi_GFC,pi_COVID,pi_Non-crisis,pi_Calm 2013-19
DD+DISP+REL_N,"['DD_z', 'DISP_z', 'REL_N_z']",True,602.5744246164369,3,0.9898312646070064,0.8522121857993945,0.9994490340480815,0.1887477617322483,0.12340548356134454
DD+DISP+CS,"['DD_z', 'DISP_z', 'CS_z']",True,370.428003956783,3,0.8603755822688732,0.8586050959483827,0.9452780610689734,0.10043610451221276,0.14825150161977854
DD+DISP+LVIX,"['DD_z', 'DISP_z', 'LVIX_z']",False,15.460757167389419,3,0.9096144250865734,0.8644963299390866,0.9844527475194405,0.095847088227217,0.10391611862625959
DD+DISP+ADR,"['DD_z', 'DISP_z', 'ADR_z']",True,1019.716527713089,3,0.8953165415157222,0.8657700807672034,0.9305645774360123,0.10283420551068684,0.19377817629746405
DD+DISP+SKEW,"['DD_z', 'DISP_z', 'SKEW_z']",True,1186.9339821742392,3,0.9913780546543765,0.8664219665063777,0.7499227294810524,0.10594001953242622,0.10664833553595948
DD+DISP+TERM,"['DD_z', 'DISP_z', 'TERM_z']",True,865.505117944113,2,0.9968584589849881,0.8624771940787745,0.9999690645257345,0.08687428478970832,0.17640461417016903
DD+REL_N+CS,"['DD_z', 'REL_N_z', 'CS_z']",True,798.9144720769808,3,0.8356019125679661,0.8640868336345736,0.783490482028488,0.08520159186544483,0.13908869390109957
DD+REL_N+LVIX,"['DD_z', 'REL_N_z', 'LVIX_z']",True,556.9088548635145,3,0.9948556761117943,0.9956831525828242,0.9086904870722159,0.2687108196244781,0.0878953205599677
DD+REL_N+ADR,"['DD_z', 'REL_N_z', 'ADR_z']",True,1102.2616375164425,2,0.8677623506792322,0.8515917038840548,0.7687471729451454,0.11163198167464129,0.11316612358368307
DD+REL_N+SKEW,"['DD_z', 'REL_N_z', 'SKEW_z']",True,364.77318512670325,3,0.9106184892290928,0.8630420157641527,0.7084705788294569,0.09953430920673756,0.07571430356562456
DD+REL_N+TERM,"['DD_z', 'REL_N_z', 'TERM_z']",False,1246.4243981735408,3,0.7420432878068577,0.8472023089710173,0.665653027919701,0.4410460638140354,0.16437975664579968
DD+CS+LVIX,"['DD_z', 'CS_z', 'LVIX_z']",True,739.1838872344364,3,0.8441280363772541,0.8638800546127282,0.8501400234320762,0.10288319607608976,0.12919021915728665
DD+CS+ADR,"['DD_z', 'CS_z', 'ADR_z']",True,253.3512470917099,3,0.8622120966855165,0.8565235896765422,0.8015408828732005,0.10035326459790576,0.16574107010981987
DD+CS+SKEW,"['DD_z', 'CS_z', 'SKEW_z']",True,1182.4466473694931,3,0.8919741127121903,0.883715185745013,0.7499874834676137,0.09688494362170878,0.12232723333677342
DD+CS+TERM,"['DD_z', 'CS_z', 'TERM_z']",True,953.8098615646439,3,0.7466114102461232,0.8527455310951544,0.7604068231901702,0.09629412796541166,0.12277805955966346
DD+LVIX+ADR,"['DD_z', 'LVIX_z', 'ADR_z']",True,463.20736395878686,3,0.886895490295533,0.8577055265513055,0.7992231997197818,0.10392377014575162,0.14246229323621534
DD+LVIX+SKEW,"['DD_z', 'LVIX_z', 'SKEW_z']",True,241.8967880055404,3,0.9972594382666438,0.997778985656163,0.750001713955165,0.21151458200661896,0.0917647898972419
DD+LVIX+TERM,"['DD_z', 'LVIX_z', 'TERM_z']",True,1500.0,3,0.9992999006985533,0.9990771048009318,0.9953074483048907,0.08829474796715957,0.14781582731769574
DD+ADR+SKEW,"['DD_z', 'ADR_z', 'SKEW_z']",True,1097.2924206006478,3,0.9159796264588133,0.8677904290784969,0.7499926557521592,0.10332298063786105,0.13073865525175318
DD+ADR+TERM,"['DD_z', 'ADR_z', 'TERM_z']",True,898.9203267171769,3,0.8943311690341675,0.8610872567769222,0.9685132929957532,0.09526425989898712,0.18576601929410663
DD+SKEW+TERM,"['DD_z', 'SKEW_z', 'TERM_z']",True,923.0983783623124,3,0.9370071480490623,0.88410612132596,0.745742055432009,0.0956107714896503,0.11308739954661966
