year,scope,n,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12,pi
2014,overall,12000,8.441624366860525,10.98946449053667,4.417819257228137,20.903725605702874,7.10602414762802,4.559055441250624,5.585518582442896,16.08099838645214,5.305435621353547,10.89617511945924,62.66468918635512,48.46126426971303,149.99478321581682
2014,calm,12000,8.441624366860525,10.98946449053667,4.417819257228137,20.903725605702874,7.10602414762802,4.559055441250624,5.585518582442896,16.08099838645214,5.305435621353547,10.89617511945924,62.66468918635512,48.46126426971303,149.99478321581682
2014,long_leg,1200,1.0171580607936141,1.660490962208314,0.9273494444735968,4.2564701958346305,1.330737883927669,0.6584687198592674,1.1202390976327103,2.3375010254435424,1.195456794794532,1.605045724442182,12.625435376685791,8.853904958716152,16.049501479391143
2015,overall,12000,9.893424236380087,10.49787197790421,6.729378849394548,31.061241618336282,10.072627586873848,7.715784514593744,11.385226776585018,21.580582160734817,7.0168918422941795,17.311280529180955,39.123890842669724,37.57888946451241,224.69799365485108
2015,calm,9000,6.864304565579692,6.776337933490543,4.820996990067885,19.967437808407343,6.956231396038013,5.501363015543579,8.191453577039047,15.018885242758197,4.948835986289933,11.97602646175886,27.87541642248971,26.130468641497156,167.02077062809346
2015,panic,3000,3.0291196708003927,3.721534044413731,1.90838185932667,11.093803809928962,3.116396190835798,2.2144214990501805,3.1937731995459244,6.561696917976644,2.068055856004247,5.335254067422062,11.248474420180044,11.448420823015196,57.67722302675762
2015,long_leg,1200,1.6252035433673773,1.7184162668208756,1.4920008286635649,7.057210486654417,2.013551474796367,1.5730281851238568,2.744879038179757,4.494408950848536,2.1532895104027507,3.652327538500836,6.7927637078479775,6.666545772194845,24.291288873797697
2016,overall,12000,13.894195163392855,10.575856592421864,8.71292056942999,26.590311518898137,8.361399222440816,7.780953975317016,11.248178700709559,23.61005519380353,8.759570569413729,23.658875662274845,44.077668487345456,39.33972518543427,122.48368197294941
2016,calm,9000,7.226345389203035,6.288428028444435,4.649983089076539,17.011880497334968,5.140997174189046,4.867562470786046,5.340624905374654,13.843768476466064,4.560360893655351,13.514830846516231,32.82651920385258,27.599964688432514,85.27934858917544
2016,panic,3000,6.667849774189786,4.287428563977402,4.062937480353447,9.57843102156329,3.22040204825181,2.9133915045309395,5.90755379533485,9.766286717337286,4.199209675758384,10.144044815758667,11.25114928349285,11.73976049700187,37.20433338377415
2016,long_leg,1200,2.7950100336436177,2.2840798831007665,2.315667139513248,5.812448651989216,1.9690728380432279,1.8032408368419723,3.3614604749739496,5.201456248587495,2.8411810696430466,5.841839337665307,6.988058538330434,8.196615759141121,14.310411532624885
2017,overall,12000,6.671853504430314,5.064555809791113,3.388725772668651,17.24175539147902,5.967938493021991,5.906471483872171,5.095875245604045,18.686237969763226,6.079289543706646,11.685338246629438,48.66079441708567,34.442614930143655,34.784610882954475
2017,calm,12000,6.671853504430314,5.064555809791113,3.388725772668651,17.24175539147902,5.967938493021991,5.906471483872171,5.095875245604045,18.686237969763226,6.079289543706646,11.685338246629438,48.66079441708567,34.442614930143655,34.784610882954475
2017,long_leg,1200,0.8374130545085636,0.6821414723211391,0.619365395042176,3.5211333320878557,1.3058800740153995,0.7948921983453759,0.9237583199481199,3.0069107336716305,1.1876812424623044,1.8084387419828525,7.43133363397828,5.222695629187609,4.226825736127763
2018,overall,12000,9.937330700206692,6.792634756767985,5.202041660518931,19.328289158404765,9.573453869572452,5.3292199079262295,6.605774597767144,19.844973489969693,5.790852474721401,15.13225080383062,52.61166683298343,36.4175966223769,117.08035479957061
2018,calm,7000,3.852150076376501,2.859743952208994,2.5974530325463148,8.850220548784476,5.265367715305879,2.9315508701210207,3.437030631498323,11.571641869684191,3.069331368961753,6.844734338187385,31.54163523459275,21.667421084048698,60.71145854449556
