name,combo,sh_lr,sh_xgb,min_ess,n_sig
DISP+REL_N+LVIX+ADR,"['DISP_z', 'REL_N_z', 'LVIX_z', 'ADR_z']",-0.06825389240600824,0.47471098749380874,55.09445591290216,3
DISP+CS+LVIX+ADR,"['DISP_z', 'CS_z', 'LVIX_z', 'ADR_z']",-0.0544496046597111,0.47016138504845434,1219.55352537136,3
DD+VOL+REL_N+SKEW,"['DD_z', 'VOL_z', 'REL_N_z', 'SKEW_z']",-0.07850462783980981,0.46473768239630175,284.6207309973547,4
DD+VOL+LVIX+ADR,"['DD_z', 'VOL_z', 'LVIX_z', 'ADR_z']",-0.062233155877315795,0.45632383798443243,548.6842208918566,4
DD+VOL+REL_N+ADR,"['DD_z', 'VOL_z', 'REL_N_z', 'ADR_z']",-0.05668860386717919,0.44916825470110394,687.3064121569114,3
VOL+DISP+LVIX+ADR,"['VOL_z', 'DISP_z', 'LVIX_z', 'ADR_z']",-0.07788145013280952,0.4315001295834754,271.36139664380914,3
DD+DISP+LVIX+ADR,"['DD_z', 'DISP_z', 'LVIX_z', 'ADR_z']",-0.05943998263737524,0.428225669324027,537.3009057601683,4
DISP+CS+LVIX+TERM,"['DISP_z', 'CS_z', 'LVIX_z', 'TERM_z']",-0.05765310421645757,0.42440609543519126,1281.761668809945,3
DD+VOL+CS+SKEW,"['DD_z', 'VOL_z', 'CS_z', 'SKEW_z']",-0.04628635423257469,0.4204978541627345,251.40794262811522,4
DD+CS+ADR+SKEW,"['DD_z', 'CS_z', 'ADR_z', 'SKEW_z']",-0.04855363207019513,0.41983320509997757,1191.996928027823,4
DD+VOL+CS+LVIX,"['DD_z', 'VOL_z', 'CS_z', 'LVIX_z']",-0.04564312923162746,0.4194532381130088,705.4256133135399,4
DD+VOL+DISP+CS,"['DD_z', 'VOL_z', 'DISP_z', 'CS_z']",-0.055231303218078204,0.3850054766537752,137.21982239198275,4
DD+VOL+DISP+CS,"['DD_z', 'VOL_z', 'DISP_z', 'CS_z']",-0.055,0.385,137.0,4
DISP+REL_N+ADR+SKEW,"['DISP_z', 'REL_N_z', 'ADR_z', 'SKEW_z']",-0.07645658449254486,0.36448158989118384,593.2341474176933,3
DD+CS+LVIX+TERM,"['DD_z', 'CS_z', 'LVIX_z', 'TERM_z']",-0.06076996948889096,0.3335514184851406,1131.4163507906464,4
DISP+REL_N+LVIX+SKEW,"['DISP_z', 'REL_N_z', 'LVIX_z', 'SKEW_z']",-0.08695028536401185,0.3307017052391479,1301.315098994355,4
DD+VOL+DISP+SKEW,"['DD_z', 'VOL_z', 'DISP_z', 'SKEW_z']",-0.07477691790827776,0.32224987406778816,269.8753482713694,4
DD+VOL+DISP+SKEW,"['DD_z', 'VOL_z', 'DISP_z', 'SKEW_z']",-0.075,0.322,254.0,4
REL_N+CS+LVIX+SKEW,"['REL_N_z', 'CS_z', 'LVIX_z', 'SKEW_z']",-0.06847942258778991,0.3199110717316905,914.3853225856053,3
VOL+DISP+CS+ADR,"['VOL_z', 'DISP_z', 'CS_z', 'ADR_z']",-0.06818216585852446,0.30725145658638353,237.6869219235472,3
DD+REL_N+LVIX+TERM,"['DD_z', 'REL_N_z', 'LVIX_z', 'TERM_z']",-0.10645503202609116,0.30568983791809057,1060.7880654365536,3
DD+DISP+CS+ADR,"['DD_z', 'DISP_z', 'CS_z', 'ADR_z']",-0.05596016657369213,0.2944869467351068,257.5798360600784,4
DD+ADR+SKEW+TERM,"['DD_z', 'ADR_z', 'SKEW_z', 'TERM_z']",-0.07267297931628798,0.29359259312593383,1067.428245706487,4
DD+LVIX+ADR+TERM,"['DD_z', 'LVIX_z', 'ADR_z', 'TERM_z']",-0.09356868283026659,0.2932251384145114,1182.9664945777824,4
DD+DISP+CS+LVIX,"['DD_z', 'DISP_z', 'CS_z', 'LVIX_z']",-0.05138758979877599,0.29226605710220915,427.1328012115734,4
DD+VOL+LVIX+SKEW,"['DD_z', 'VOL_z', 'LVIX_z', 'SKEW_z']",-0.049322558646372444,0.29193007588454456,732.9421386985391,4
VOL+DISP+LVIX+TERM,"['VOL_z', 'DISP_z', 'LVIX_z', 'TERM_z']",-0.09988021581732617,0.2907449696530905,1059.5666532507257,3
VOL+LVIX+ADR+SKEW,"['VOL_z', 'LVIX_z', 'ADR_z', 'SKEW_z']",-0.05975452195172724,0.28898382282553187,97.31678216043352,3
VOL+CS+LVIX+ADR,"['VOL_z', 'CS_z', 'LVIX_z', 'ADR_z']",-0.05944191400572069,0.2866902611444285,427.39883652245766,3
CS+LVIX+ADR+SKEW,"['CS_z', 'LVIX_z', 'ADR_z', 'SKEW_z']",-0.07036076450846507,0.2556954862780071,885.3863451009781,2
VOL+LVIX+SKEW+TERM,"['VOL_z', 'LVIX_z', 'SKEW_z', 'TERM_z']",-0.04591842195701374,0.24001111720599846,437.83912531390246,4
VOL+CS+ADR+SKEW,"['VOL_z', 'CS_z', 'ADR_z', 'SKEW_z']",-0.07912611689576468,0.2386957802336951,770.2255602417331,3
DD+REL_N+LVIX+SKEW,"['DD_z', 'REL_N_z', 'LVIX_z', 'SKEW_z']",-0.07494810171975258,0.22064711378141072,1061.0238258721863,3
VOL+CS+LVIX+SKEW,"['VOL_z', 'CS_z', 'LVIX_z', 'SKEW_z']",-0.07316921013576275,0.16215705915669618,506.0966079093334,3
DISP+CS+ADR+SKEW,"['DISP_z', 'CS_z', 'ADR_z', 'SKEW_z']",-0.05104556563323213,0.12033461856254661,326.46442670410676,3
REL_N+LVIX+ADR+TERM,"['REL_N_z', 'LVIX_z', 'ADR_z', 'TERM_z']",-0.050729662977227655,0.07395391427060222,1043.8713724675758,3
REL_N+CS+LVIX+ADR,"['REL_N_z', 'CS_z', 'LVIX_z', 'ADR_z']",-0.06786680572672393,-0.026017931136223384,1319.55267798513,3
