strategy,cluster,E,share_mo,n_mo_c,cost_base_bpyr,cost_saved_bpyr,cost_saved_pct,saved_per_treated_mo_bp,turnover_removed,uniform_saved_matched_bpyr,cluster_minus_uniform_bpyr,net_base_pctyr,net_delta_pctyr
profitability,C3-deeploser,25,0.144,17,2.4,-0.001,-0.06,-0.0078,-0.0032,0.0,-0.001,16.763,0.049
profitability,C3-deeploser,30,0.144,17,2.4,-0.001,-0.06,-0.0079,-0.0032,0.0,-0.001,16.763,0.048
profitability,C3-deeploser,40,0.144,17,2.4,-0.002,-0.09,-0.0123,-0.0035,0.0,-0.002,16.763,0.046
profitability,C3-deeploser,60,0.144,17,2.4,-0.002,-0.09,-0.0123,-0.0035,0.0,-0.002,16.763,0.046
profitability,C3-deeploser,100,0.144,17,2.4,-0.009,-0.37,-0.0525,-0.0066,0.0,-0.009,16.763,0.054
investment,C0-winner,10,0.314,37,5.72,0.0,0.0,0.0,0.0,0.0,0.0,17.146,0.0
investment,C0-winner,15,0.314,37,5.72,0.124,2.17,0.335,0.0333,0.1,0.024,17.146,0.045
investment,C0-winner,20,0.314,37,5.72,0.193,3.38,0.5223,0.0503,0.15,0.043,17.146,-0.123
investment,C0-winner,25,0.314,37,5.72,0.191,3.34,0.5156,0.0494,0.148,0.043,17.146,-0.118
investment,C0-winner,30,0.314,37,5.72,0.186,3.25,0.5026,0.0483,0.144,0.042,17.146,-0.276
investment,C0-winner,40,0.314,37,5.72,0.241,4.21,0.6507,0.0596,0.178,0.063,17.146,-0.278
investment,C0-winner,60,0.314,37,5.72,0.197,3.44,0.532,0.0481,0.144,0.053,17.146,-0.266
investment,C0-winner,100,0.314,37,5.72,0.169,2.96,0.458,0.0407,0.122,0.048,17.146,-0.364
investment,C1,10,0.373,44,5.72,0.0,0.0,0.0,0.0,0.0,0.0,17.146,0.0
investment,C1,15,0.373,44,5.72,0.086,1.5,0.1944,0.0377,0.113,-0.027,17.146,-0.093
investment,C1,20,0.373,44,5.72,0.093,1.63,0.2123,0.0398,0.119,-0.026,17.146,-0.151
investment,C1,25,0.373,44,5.72,0.075,1.3,0.1694,0.0326,0.097,-0.023,17.146,0.056
investment,C1,30,0.373,44,5.72,0.074,1.3,0.1684,0.0334,0.1,-0.026,17.146,-0.043
investment,C1,40,0.373,44,5.72,0.071,1.25,0.1625,0.0321,0.096,-0.024,17.146,-0.044
investment,C1,60,0.373,44,5.72,0.069,1.2,0.1562,0.0296,0.088,-0.02,17.146,-0.028
investment,C1,100,0.373,44,5.72,0.057,1.0,0.1294,0.0252,0.075,-0.018,17.146,0.017
investment,C2,10,0.169,20,5.72,0.0,0.0,0.0,0.0,0.0,0.0,17.146,0.0
investment,C2,15,0.169,20,5.72,0.33,5.78,1.6516,0.1215,0.363,-0.033,17.146,0.163
investment,C2,20,0.169,20,5.72,0.339,5.92,1.6928,0.1217,0.364,-0.025,17.146,0.138
investment,C2,25,0.169,20,5.72,0.336,5.89,1.6824,0.1218,0.364,-0.028,17.146,0.123
investment,C2,30,0.169,20,5.72,0.334,5.84,1.6684,0.1204,0.36,-0.026,17.146,0.121
investment,C2,40,0.169,20,5.72,0.326,5.71,1.6316,0.1171,0.35,-0.024,17.146,0.093
investment,C2,60,0.169,20,5.72,0.32,5.6,1.6014,0.1153,0.345,-0.025,17.146,0.025
investment,C2,100,0.169,20,5.72,0.306,5.36,1.5312,0.1104,0.33,-0.024,17.146,-0.182
investment,C3-deeploser,10,0.144,17,5.72,0.0,0.0,0.0,0.0,0.0,0.0,17.146,0.0
investment,C3-deeploser,15,0.144,17,5.72,0.187,3.27,1.1007,0.0582,0.174,0.013,17.146,0.481
investment,C3-deeploser,20,0.144,17,5.72,0.175,3.07,1.0311,0.0552,0.165,0.01,17.146,0.452
investment,C3-deeploser,25,0.144,17,5.72,0.173,3.03,1.0173,0.0486,0.145,0.028,17.146,0.602
investment,C3-deeploser,30,0.144,17,5.72,0.173,3.03,1.0188,0.0485,0.145,0.028,17.146,0.594
investment,C3-deeploser,40,0.144,17,5.72,0.171,2.99,1.0069,0.0482,0.144,0.027,17.146,0.478
investment,C3-deeploser,60,0.144,17,5.72,0.226,3.96,1.3304,0.0626,0.187,0.039,17.146,-0.298
investment,C3-deeploser,100,0.144,17,5.72,0.223,3.9,1.3102,0.0609,0.182,0.041,17.146,-0.312
