strategy,family,params,gross_ir,net_ir_0,net_ir_meas,to_mo,to_calm,to_crash,to_recovery,n_names,breakeven_bp,alpha_ff5lo,t_ff5lo,alpha_ff6lo,t_ff6lo,mean_hs_bp,hs_fallback_frac,net_ir_meas_pre,net_ir_meas_post,net_ir_stress3,net_ir_stress5
xgb,regime3,"(20, 30, 15)",0.33070471162618653,0.33070471162618653,0.3075338847856932,0.6342475552636772,0.6224688295733346,0.6420739797042175,0.7066087240558808,117.77653631284916,24.076283153929182,0.01830129824208496,0.6425463746610719,0.016670100040217295,0.5582324554024557,1.700329200580662,0.0,,0.3075338847856932,0.29477613573320555,0.2819906113506324
xgb,regime3,"(20, 30, 20)",0.33478128092035525,0.33478128092035525,0.31164569951188326,0.6312027214602043,0.6221782894145771,0.6429109731303861,0.6788268978122748,118.48603351955308,24.40133265902878,0.01881527577495565,0.6640801609404904,0.017182492220187248,0.5786141856907816,1.699869789196244,0.0,,0.31164569951188326,0.2990872011676344,0.2865007101519788
xgb,regime3,"(20, 40, 10)",0.26716790082155806,0.26716790082155806,0.2438171664020345,0.6395144236898775,0.6229302227898934,0.6101016642577088,0.7967257218916807,118.12849162011173,19.417970960901012,0.010485780467329894,0.36777117817397703,0.009161759391016554,0.30650625108194496,1.7081784485004958,0.0,,0.2438171664020345,0.23058287320365167,0.21733127838800698
xgb,regime3,"(20, 30, 40)",0.31440906769306354,0.31440906769306354,0.2916193599400226,0.619605797567461,0.6215459801056549,0.6398333121865906,0.5782426480824434,120.56983240223464,23.187537017144724,0.01657961957143097,0.5854334447238735,0.015034729530370609,0.5070346120871756,1.6939859919970324,0.0,,0.2916193599400226,0.27990723435077275,0.26817233780470784
xgb,regime3,"(20, 40, 15)",0.31670364676956814,0.31670364676956814,0.2934296005817918,0.6293535778667314,0.6223786300223407,0.6071537091721586,0.7089240829829018,119.14525139664805,22.954027732386113,0.017040785797380942,0.6040915015870031,0.015335366758843352,0.5187865802957313,1.6997909659666117,0.0,,0.2934296005817918,0.2808618139075669,0.2682694709085343
xgb,regime3,"(20, 40, 20)",0.3241485569962149,0.3241485569962149,0.3009659066165058,0.6252301757285167,0.6220880898635834,0.6056301553899682,0.6742112301865869,119.96648044692738,23.586553016400014,0.017962020778685018,0.6390126209828463,0.0162607398561213,0.5521630074599297,1.6998903893772117,0.0,,0.3009659066165058,0.288678022524563,0.27636540582121444
xgb,regime3,"(20, 40, 30)",0.31740751370924963,0.31740751370924963,0.2944793991814574,0.617896918744351,0.6217483553325334,0.6003350665751208,0.6147661636698015,121.35195530726257,23.28961265324963,0.0178783638189822,0.6325199195552788,0.016166020220181255,0.5457598580480805,1.6954433552709594,0.0,,0.2944793991814574,0.2827777116382636,0.2710535301157416
xgb,regime3,"(30, 10, 15)",0.4249341771116037,0.4249341771116037,0.4027507392068781,0.5998650800567095,0.5441667944277304,0.8152978600932166,0.6978818165479722,125.64804469273743,32.47975589632573,0.023771035684546814,0.8594539450748822,0.022580271322613348,0.7673994451653625,1.713486620283989,0.0,,0.4027507392068781,0.3879116699984291,0.37302857880470136
xgb,regime3,"(30, 10, 20)",0.42978397858772655,0.42978397858772655,0.407636667961353,0.5971273629294626,0.5436795812875421,0.8156712543099012,0.6750148136729333,126.32402234636872,32.88149124980289,0.024403405167979723,0.886396289966494,0.023218624582678003,0.7925272609838866,1.7124834875746222,0.0,,0.407636667961353,0.3929753989392127,0.37826932724840784
xgb,regime3,"(30, 10, 40)",0.4161084412211948,0.4161084412211948,0.39420317445815467,0.5878553270130907,0.542042082761021,0.8166071996839229,0.5979303817676026,128.0391061452514,32.1012306411285,0.023119841569575625,0.839713417607891,0.02197261205806877,0.7502580206486874,1.7076183288039146,0.0,,0.39420317445815467,0.38010791267927285,0.36597165371497253
xgb,regime3,"(30, 10, 30)",0.4236568316591502,0.4236568316591502,0.40165339510199316,0.5914675534892089,0.5427444448178717,0.8152423473999015,0.6288755492934825,127.36312849162012,32.551521987573025,0.024206544725365476,0.8803572372862555,0.023009746306120044,0.78636175572104,1.7086587518232101,0.0,,0.40165339510199316,0.38736582808324876,0.37303499226342557
xgb,regime3,"(30, 15, 10)",0.38769422445866913,0.38769422445866913,0.3656602199445599,0.599436697213097,0.5435105636483083,0.7613715352267525,0.7722680713881837,125.91620111731844,29.940239844626497,0.018711548653051222,0.6763400243345177,0.017563137586723763,0.5982440446781812,1.7181240757620093,0.0,,0.3656602199445599,0.3508774662601785,0.33605850988995223
