date,S&P500 proxy (cap-wt),XGB long-only (monthly),XGB long-only (quarterly)
2015-04-30,0.012629410488845279,0.012911325360568413,0.047201204241059135
2015-05-29,-0.01776105711663273,-0.03192249236868327,-0.014846535838006188
2015-06-30,0.02085104543143175,0.01624624400499423,0.01643138197763659
2015-07-31,-0.06023075722726452,-0.050640965838668846,-0.046459411332781975
2015-08-31,-0.02485050489448867,-0.03380384642316053,-0.04333797463205166
2015-09-30,0.08090936808279607,0.06705557661994659,0.06698690136538898
2015-10-30,0.0029497882203938335,-0.030140943934407936,0.0027092729984838928
2015-11-30,-0.017075622832710604,0.0034521351260128784,-0.016838022599023922
2015-12-31,-0.05276386449111271,-0.10538885407541794,-0.10544044573984852
2016-01-29,-0.0017370572560902124,0.017672813510306525,0.007503954504742178
2016-02-29,0.06689538673824814,0.06657934888159538,0.052471003268538444
2016-03-31,0.0064722105060390465,0.0451358753275908,0.04494074377037718
2016-04-29,0.018084000558142497,0.03464935991489994,0.016685182410023112
2016-05-31,0.0015022319487102136,-0.024214988509849586,-0.04096276634847885
2016-06-30,0.037427144051028136,0.06432398615741365,0.06376152753405716
2016-07-29,0.0032289820738003938,0.0021015926095395627,0.0037754712848271674
2016-08-31,0.0011365729678498688,0.013018823045373362,0.035410739795231655
2016-09-30,-0.015775375483417172,-0.042279665228675115,-0.04249832538595055
2016-10-31,0.0400725689640077,0.045431612688175714,0.05695523180171537
2016-11-30,0.018844422341888736,0.03259965200713965,0.0032237974107032523
2016-12-30,0.02076398323664528,0.03134347175136861,0.03145235455591629
2017-01-31,0.03927783570185183,0.025989221000184838,0.025855216008978145
2017-02-28,0.00158863395988749,0.010142306524385058,-0.018308717959133122
2017-03-31,0.011743358509359998,0.0010434205486992752,0.0007448601295102188
2017-04-28,0.01579560585401632,0.01115603989063564,0.020606607866469465
2017-05-31,0.00483485216438162,0.01277664740595383,0.0033406216012803196
2017-06-30,0.021296945115956038,0.022469654422192366,0.022549417496444433
