w,ann,vol,sharpe
0.45,0.14987180844208736,0.14321474550056726,1.0464830832764616
0.46,0.15002249546523183,0.14333591656828734,1.046649709696166
0.47000000000000003,0.15017258746928652,0.14346084847544013,1.0467844646478262
0.48,0.15032208424706295,0.14358953140552683,1.0468874908611685
0.49,0.1504709855916333,0.143721955282997,1.0469589374521593
0.5,0.15061929129633067,0.14385810977703067,1.0469989598068494
0.51,0.15076700115474972,0.14399798430539246,1.0470077194622494
0.52,0.15091411496074625,0.14414156803835346,1.0469853839843808
0.53,0.15106063250843693,0.1442888499026794,1.0469321268436542
0.54,0.1512065535922007,0.14443981858567959,1.0468481272877477
0.55,0.1513518780066767,0.14459446253931552,1.0467335702120946
0.56,0.15149660554676747,0.14475276998436473,1.0465886460281981
0.5700000000000001,0.15164073600763572,0.14491472891463697,1.0464135505298482
0.58,0.15178426918470667,0.1450803271012389,1.0462084847574797
0.59,0.1519272048736673,0.14524955209688462,1.0459736548607637
0.6,0.15206954287046637,0.14542239124024942,1.045709271959607
0.61,0.15221128297131425,0.145598831660361,1.0454155520037287
0.62,0.15235242497268486,0.14577886028102816,1.0450927156309522
0.63,0.1524929686713128,0.1459624638253011,1.044740988024345
0.64,0.15263291386419553,0.1461496288199616,1.044360598768407
0.65,0.15277226034859281,0.14634034160003928,1.0439517817044088
0.66,0.15291100792202705,0.14653458831335084,1.043514774785055
0.67,0.15304915638228267,0.1467323549250597,1.043049819928598
0.68,0.1531867055274072,0.14693362722225145,1.0425571628725763
0.6900000000000001,0.15332365515571023,0.14713839081852448,1.0420370530272718
0.7000000000000001,0.15346000506576485,0.14734663115859,1.0414897433290822
0.71,0.153595755056406,0.14755833352288059,1.0409154900938837
0.72,0.15373090492673236,0.14777348303216384,1.0403145528705704
0.73,0.1538654544761049,0.14799206465215675,1.0396871942948636
0.74,0.15399940350414787,0.14821406319814096,1.0390336799435338
0.75,0.15413275181074848,0.1484394633395725,1.0383542781891626
0.76,0.1542654991960577,0.1486682496046869,1.0376492600555536
0.77,0.15439764546048873,0.14890040638509383,1.0369188990739062
0.78,0.15452919040471835,0.14913591794036105,1.0361634711398904
0.79,0.1546601338296869,0.14937476840258374,1.0353832543717052
0.8,0.15479047553659808,0.14961694178093732,1.0345785289692369
0.81,0.1549202153269187,0.14986242196621088,1.0337495770744194
0.8200000000000001,0.15504935300237976,0.15011119273531978,1.0328966826329005
0.8300000000000001,0.15517788836497526,0.150363237755794,1.032020131257088
0.84,0.1553058212169629,0.15061854059024046,1.0311202100906969
0.85,0.155433151360864,0.15087708470077832,1.0301972076748522
0.86,0.15555987859946452,0.1511388534534425,1.029251413815865
0.87,0.15568600273581223,0.15140383012255637,1.0282831194547033
0.88,0.15581152357322114,0.15167199789506988,1.0272926165383216
0.89,0.15593644091526726,0.15194333987486144,1.0262801978928098
0.9,0.15606075456579172,0.15221783908700268,1.0252461570985287
0.91,0.156184464328899,0.15249547848198342,1.0241907883672197
0.92,0.156307570008958,0.15277624093989506,1.0231143864211991
0.93,0.15643007141060195,0.1530601092745726,1.0220172463746515
0.9400000000000001,0.1565519683387273,0.1533470662376909,1.0208996636170968
0.9500000000000001,0.1566732605984955,0.1536370945228164,1.0197619336990795
0.96,0.15679394799533242,0.15393017676941156,1.018604352220103
0.97,0.156914030334927,0.15422629556679104,1.0174272147188543
0.98,0.15703350742323408,0.15452543345802822,1.0162308165657863
0.99,0.15715237906647173,0.15482757294381136,1.015015452858026
1.0,0.15727064507112298,0.15513269648624803,1.013781418316702
