permno,ticker,comnam,namedt,nameenddt
83435,YHOO,YAHOO INC,2000-08-01,2017-06-16
86946,RAI,REYNOLDS AMERICAN INC,2004-08-02,2017-07-24
77281,WFM,WHOLE FOODS MARKET INC,2011-05-06,2017-08-25
20626,DOW,DOW CHEMICAL CO,2001-02-01,2017-08-31
11703,DD,DU PONT E I DE NEMOURS & CO,2014-01-29,2017-08-31
89213,WOOF,V C A INC,2014-06-03,2017-09-11
75489,SPLS,STAPLES INC,1999-07-01,2017-09-12
14695,KITE,KITE PHARMA INC,2014-06-20,2017-10-02
85991,LVLT,LEVEL 3 COMMUNICATIONS INC,2011-10-20,2017-10-31
93152,CIE,COBALT INTERNATIONAL ENERGY INC,2017-06-19,2017-12-13
46877,BCR,BARD C R INC,2004-02-17,2017-12-28
15134,JUNO,JUNO THERAPEUTICS INC,2014-12-19,2018-03-05
92709,SNI,SCRIPPS NETWORKS INTERACTIVE INC,2016-03-15,2018-03-06
92530,CPN,CALPINE CORP,2016-12-19,2018-03-08
88668,MON,MONSANTO CO NEW,2003-07-01,2018-06-06
77418,TWX,TIME WARNER INC NEW,2016-12-19,2018-06-14
92618,DPS,DR PEPPER SNAPPLE GROUP INC,2008-05-07,2018-07-09
93295,SPB,SPECTRUM BRANDS HOLDINGS INC,2010-06-17,2018-07-13
90657,PAY,VERIFONE SYSTEMS INC,2010-05-19,2018-08-17
37284,ANDV,ANDEAVOR,2017-08-01,2018-09-28
89757,SHLD,SEARS HOLDINGS CORP,2005-03-28,2018-10-23
77768,PX,PRAXAIR INC,2001-08-24,2018-10-30
25778,CA,C A INC,2008-04-28,2018-11-02
89014,COL,ROCKWELL COLLINS INC,2004-02-17,2018-11-26
88845,AET,AETNA INC NEW,2001-08-24,2018-11-28
86106,EEP,ENBRIDGE ENERGY PARTNERS LP,2014-01-09,2018-12-19
77668,ESRX,EXPRESS SCRIPTS HOLDING CO,2012-04-03,2018-12-20
23085,SCG,SCANA CORP NEW,2016-12-19,2018-12-31
13456,TSRO,TESARO INC,2012-06-28,2019-01-18
12873,P,PANDORA MEDIA INC,2014-07-22,2019-01-31
92296,ATHN,ATHENAHEALTH INC,2007-09-20,2019-02-11
79915,NFX,NEWFIELD EXPLORATION CO,2016-12-19,2019-02-13
91391,WIN,WINDSTREAM HOLDINGS INC,2018-05-29,2019-03-05
90442,TFCF,TWENTY FIRST CENTURY FOX INC,2019-03-19,2019-03-19
90441,TFCFA,TWENTY FIRST CENTURY FOX INC,2019-03-19,2019-03-19
45495,RDC,ROWAN COMPANIES PLC,2012-05-04,2019-04-10
86196,ULTI,ULTIMATE SOFTWARE GROUP,1998-06-02,2019-05-02
86021,LLL,L 3 TECHNOLOGIES INC,2017-01-03,2019-06-28
87184,RHT,RED HAT INC,2016-11-14,2019-07-08
15703,FDC,FIRST DATA CORP NEW,2015-10-15,2019-07-26
13314,WP,WORLDPAY INC,2018-01-16,2019-07-30
13914,DATA,TABLEAU SOFTWARE INC,2013-05-17,2019-07-31
70332,APC,ANADARKO PETROLEUM CORP,2017-02-17,2019-08-08
76639,TSS,TOTAL SYSTEM SERVICES INC,2017-04-13,2019-09-17
11552,CELG,CELGENE CORP,1989-09-01,2019-11-20
91063,VIAB,VIACOM INC NEW,2011-12-01,2019-12-04
68144,STI,SUNTRUST BANKS INC,2004-02-20,2019-12-06
40416,AVP,AVON PRODUCTS INC,1968-01-02,2020-01-03
90272,WCG,WELLCARE HEALTH PLANS INC,2004-07-07,2020-01-23
14984,ZAYO,ZAYO GROUP HOLDINGS INC,2014-10-17,2020-03-06
14040,S,SPRINT CORP NEW,2016-12-19,2020-03-31
24942,RTN,RAYTHEON CO,2001-05-14,2020-04-02
10302,CY,CYPRESS SEMICONDUCTOR CORP,2009-11-12,2020-04-15
23887,FTR,FRONTIER COMMUNICATIONS CORP,2017-07-10,2020-04-23
82298,DO,DIAMOND OFFSHORE DRILLING INC,1995-10-11,2020-04-24
78916,AGN,ALLERGAN PLC,2015-06-15,2020-05-08
18403,JCP,PENNEY J C CO INC,2016-12-22,2020-05-18
84624,TIVO,TIVO CORP,2016-09-08,2020-05-29
78877,CHK,CHESAPEAKE ENERGY CORP,2020-04-15,2020-06-26
13267,CZR,CAESARS ENTERTAINMENT CORP,2012-02-08,2020-07-20
82196,DNR,DENBURY RESOURCES INC,2017-02-23,2020-07-29
77763,SPN,SUPERIOR ENERGY SERVICES INC,2019-12-26,2020-09-17
83862,ETFC,E TRADE FINANCIAL CORP,2010-06-02,2020-10-01
61815,NBL,NOBLE ENERGY INC,2019-12-30,2020-10-02
84597,AMTD,T D AMERITRADE HOLDING CORP,2015-12-14,2020-10-05
43757,IMMU,IMMUNOMEDICS INC,1993-07-01,2020-10-22
18790,LVGO,LIVONGO HEALTH INC,2019-07-25,2020-10-29
69550,MYL,MYLAN N V,2015-03-02,2020-11-16
75100,TIF,TIFFANY & CO NEW,1999-02-01,2021-01-06
14634,PE,PARSLEY ENERGY INC,2014-05-23,2021-01-12
92239,CXO,CONCHO RESOURCES INC,2020-11-18,2021-01-15
93422,QEP,Q E P RESOURCES INC,2019-11-26,2021-03-16
27043,VAR,VARIAN MEDICAL SYSTEMS INC,2002-01-02,2021-04-14
14567,GRUB,GRUBHUB INC,2014-04-04,2021-06-14
12503,NAV,NAVISTAR INTERNATIONAL CORP,2011-06-13,2021-06-30
83111,ALXN,ALEXION PHARMACEUTICALS INC,1996-02-28,2021-07-20
18734,WORK,SLACK TECHNOLOGIES INC,2019-06-20,2021-07-20
11896,MXIM,MAXIM INTEGRATED PRODUCTS INC,2008-10-08,2021-08-25
85908,GRA,GRACE W R & CO DEL NEW,2017-12-26,2021-09-21
89509,XEC,CIMAREX ENERGY CO,2020-11-18,2021-09-30
19199,PPD,P P D INC,2020-02-06,2021-12-07
12650,KSU,KANSAS CITY SOUTHERN,2002-05-03,2021-12-13
93150,CIT,C I T GROUP INC NEW,2020-07-01,2022-01-03
14414,SC,SANTANDER CONSUMER USA HLDGS INC,2021-05-03,2022-01-28
76201,XLNX,XILINX INC,1990-06-12,2022-02-11
82759,NUAN,NUANCE COMMUNICATIONS INC,2005-11-21,2022-03-03
92778,DISCK,DISCOVERY INC,2018-04-02,2022-04-08
90805,DISCA,DISCOVERY INC,2018-04-02,2022-04-08
80957,AZPN,ASPEN TECHNOLOGY INC,2010-02-10,2022-05-16
13169,ZNGA,ZYNGA INC,2011-12-16,2022-05-20
10909,CERN,CERNER CORP,2000-08-01,2022-06-07
89901,WLL,WHITING PETROLEUM CORP NEW,2020-09-02,2022-06-30
14926,CDK,C D K GLOBAL INC,2014-10-01,2022-07-05
88436,ENDP,ENDO INTERNATIONAL PLC,2014-03-03,2022-08-25
82686,CTXS,CITRIX SYSTEMS INC,1995-12-08,2022-09-29
17855,AVLR,AVALARA INC,2018-06-15,2022-10-18
71271,Y,ALLEGHANY CORP DE,2001-01-02,2022-10-18
14295,TWTR,TWITTER INC,2013-11-07,2022-10-27
14641,ZEN,ZENDESK INC,2017-12-26,2022-11-21
91983,CLR,CONTINENTAL RESOURCES INC,2020-11-18,2022-11-22
75107,ABMD,ABIOMED INC,1992-08-31,2022-12-21
16382,COUP,COUPA SOFTWARE INC,2016-10-06,2023-02-27
11786,SIVB,S V B FINANCIAL GROUP,2005-05-31,2023-03-10
90090,SBNY,SIGNATURE BANK NEW YORK N Y,2004-03-23,2023-03-10
12448,FRC,FIRST REPUBLIC BANK S F NEW,2021-04-05,2023-04-28
77659,BBBY,BED BATH & BEYOND INC,1999-07-01,2023-05-02
16917,BKI,BLACK KNIGHT INC,2017-10-02,2023-09-01
79678,ATVI,ACTIVISION BLIZZARD INC,2008-07-10,2023-10-12
46922,RAD,RITE AID CORP,2019-04-22,2023-10-13
13643,ICPT,INTERCEPT PHARMACEUTICALS INC,2012-10-11,2023-11-07
92257,VMW,VMWARE INC,2022-06-13,2023-11-21
88949,SGEN,SEAGEN INC,2020-10-09,2023-12-13
81696,DISH,DISH NETWORK CORP,2008-01-22,2023-12-29
14054,MRTX,MIRATI THERAPEUTICS INC,2013-07-15,2024-01-22
13379,SPLK,SPLUNK INC,2012-04-19,2024-03-15
18777,KRTX,KARUNA THERAPEUTICS INC,2019-06-28,2024-03-15
16597,AYX,ALTERYX INC,2021-03-31,2024-03-18
75241,PXD,PIONEER NATURAL RESOURCES CO,2021-04-01,2024-05-02
18456,SWAV,SHOCKWAVE MEDICAL INC,2019-03-07,2024-05-30
21186,WRK,WESTROCK CO,2024-06-24,2024-07-05
