date,xs_std,p90_p10,iqr,n,year
2014-10-31,0.0694439789292989,0.1620791,0.074596,500.0,2014
2014-11-28,0.0633300173439381,0.1311367,0.057403,500.0,2014
2014-12-31,0.0541664891985842,0.1136056,0.052915,499.0,2014
2015-01-30,0.0740307519776845,0.1706701,0.08313675,500.0,2015
2015-02-27,0.0671579893440638,0.1518575,0.0674849999999999,500.0,2015
2015-03-31,0.0538309022959302,0.1206866,0.0539095,500.0,2015
2015-04-30,0.0649322034940875,0.1411916,0.06593575,500.0,2015
2015-05-29,0.0863715389721585,0.1342655,0.053452,500.0,2015
2015-06-30,0.0514356683064715,0.1201741,0.06745,500.0,2015
2015-07-31,0.0763936611738521,0.1730104999999999,0.0873915,496.0,2015
2015-08-31,0.0626459757204046,0.119438,0.0573267499999999,500.0,2015
2015-09-30,0.0610281887812002,0.1385762999999999,0.0708675,500.0,2015
2015-10-30,0.0795617829586326,0.182748,0.08995075,500.0,2015
2015-11-30,0.0649412337721111,0.1257862,0.0596235,499.0,2015
2015-12-31,0.0735144581130061,0.13742,0.0752869999999999,499.0,2015
2016-01-29,0.0871775267337867,0.221757,0.11226475,500.0,2016
2016-02-29,0.0780042551271071,0.1681569,0.0727522499999999,500.0,2016
2016-03-31,0.063890785747279,0.1361861000000001,0.0611749999999999,500.0,2016
2016-04-29,0.0748134590517946,0.1574366,0.08140125,498.0,2016
2016-05-31,0.0637261969488806,0.1306222,0.06375225,500.0,2016
2016-06-30,0.0684974148619793,0.1579679,0.08470325,500.0,2016
2016-07-29,0.0692320732848986,0.1566492,0.0852115,499.0,2016
2016-08-31,0.0617190613984012,0.1397967000000001,0.0653765,500.0,2016
2016-09-30,0.0521724482401778,0.1055143999999999,0.05133,499.0,2016
2016-10-31,0.0638335444706922,0.1447335,0.071481,500.0,2016
2016-11-30,0.0970242954454973,0.247314,0.1316975,499.0,2016
2016-12-30,0.0520735014613814,0.1204242,0.06201325,500.0,2016
2017-01-31,0.0645446181483488,0.139035,0.063167,500.0,2017
2017-02-28,0.058933565607495,0.1312079,0.06257075,500.0,2017
2017-03-31,0.0471701485062408,0.1047195999999999,0.0461694999999999,499.0,2017
2017-04-28,0.0515601313268938,0.1196829,0.055563,500.0,2017
2017-05-31,0.0667180270768555,0.1515994,0.0764885,500.0,2017
2017-06-30,0.0603490037136026,0.14745,0.070279,499.0,2017
2017-07-31,0.0583145832706973,0.123259,0.0565137499999999,500.0,2017
2017-08-31,0.0677670768905463,0.1423007,0.071216,500.0,2017
2017-09-29,0.062035423160111,0.1417608,0.0761225,499.0,2017
2017-10-31,0.0636753222726246,0.1468048,0.0696877499999999,500.0,2017
2017-11-30,0.0835677666138219,0.1508964,0.0648445,500.0,2017
2017-12-29,0.0584165251179075,0.1284737,0.0626895,500.0,2017
2018-01-31,0.0885201381998699,0.1687853999999999,0.0799345,499.0,2018
2018-02-28,0.0638354136519111,0.1440106,0.06758425,500.0,2018
2018-03-29,0.0547010912009706,0.131487,0.0650075,500.0,2018
2018-04-30,0.0715637583499849,0.1658537,0.07777775,500.0,2018
2018-05-31,0.0727153126529511,0.1639842,0.082307,499.0,2018
2018-06-29,0.0675128265595267,0.1458355,0.071499,500.0,2018
2018-07-31,0.0630173516172806,0.1409206,0.068159,499.0,2018
2018-08-31,0.0822574733804763,0.1668697,0.0790435,500.0,2018
2018-09-28,0.0770342590703171,0.1278136,0.0621609999999999,499.0,2018
2018-10-31,0.0854189706944898,0.2040758,0.1042775,500.0,2018
2018-11-30,0.0793267570673849,0.1760463,0.0818007499999999,500.0,2018
2018-12-31,0.0581208085316633,0.1475078,0.06669325,500.0,2018
2019-01-31,0.888197619564597,0.1813462,0.08969225,500.0,2019
2019-02-28,0.0749366271863985,0.1515894000000001,0.07078825,500.0,2019
2019-03-29,0.0619837527622348,0.1427576,0.069693,497.0,2019
2019-04-30,0.0729306962353613,0.1628191999999999,0.07763,499.0,2019
2019-05-31,0.079449683609026,0.1871328,0.1035557499999999,498.0,2019
2019-06-28,0.0733954901642277,0.1409877999999999,0.072354,499.0,2019
2019-07-31,0.0619975754470061,0.1482272,0.068206,500.0,2019
2019-08-30,0.0844332779945088,0.1884451999999999,0.10382225,500.0,2019
2019-09-30,0.0654737480492969,0.140574,0.0781284999999999,500.0,2019
2019-10-31,0.0729389488409996,0.1603266,0.08071075,500.0,2019
2019-11-29,0.0763114876250842,0.1493372,0.0708525,500.0,2019
2019-12-31,0.0543520006261619,0.120036,0.04976875,500.0,2019
2020-01-31,0.0825803793895295,0.198019,0.10768525,500.0,2020
