date,market,r2_sel_ew,r3_capscore_monthly_nocap,m1_monthly_cap,m2_semiann_cap_nofee,r4_full_spmo
2013-01-31,0.013331590540426631,0.022713040000000004,0.01568619407499439,0.016795541830054137,0.01876403946886111,0.01876403946886111
2013-02-28,0.03879754044942066,0.04237406000000001,0.04937892797840764,0.04937892797840764,0.04709894627707505,0.04709894627707505
2013-03-28,0.018840330075752844,0.015590959999999997,0.01877660019833459,0.01877660019833459,0.01877660019833459,0.01813553589928259
2013-04-30,0.025025835311716184,0.00582403,0.005397577188096185,0.005397577188096185,0.017136772042368107,0.017136772042368107
2013-05-31,-0.01314060402186573,-0.019646270000000004,-0.008534881458860442,-0.008534881458860442,-0.015380780133573912,-0.015380780133573912
2013-06-28,0.05326754474002411,0.06166758000000001,0.05367977167238304,0.05367977167238304,0.0497690135438846,0.0497690135438846
2013-07-31,-0.026801009990641726,-0.029018820000000004,-0.04075426890396975,-0.04075426890396975,-0.031325741539879125,-0.031325741539879125
2013-08-30,0.033251557930356695,0.05180704,0.043505719908795835,0.043505719908795835,0.04776218393837845,0.04776218393837845
2013-09-30,0.0439887912505498,0.04181937,0.03758032812034575,0.03758032812034575,0.03758032812034575,0.036878274543440615
2013-10-31,0.03073040226211622,0.028313179999999997,0.03132827781327104,0.03132827781327104,0.0407588336507481,0.0407588336507481
2013-11-29,0.026313499515583687,0.035014888888888894,0.030350185825888488,0.030350185825888488,0.021582424911015776,0.021582424911015776
2013-12-31,-0.03474788089343718,-0.03154609,-0.04051470172578334,-0.04051470172578334,-0.027572330785727166,-0.027572330785727166
2014-01-31,0.04594540417673308,0.06034682000000001,0.05406298379976934,0.05406298379976934,0.04520614516882568,0.04520614516882568
2014-02-28,0.006291245464722742,-0.017117969999999996,-0.01789195092616198,-0.01789195092616198,-0.0023315943469287906,-0.0023315943469287906
2014-03-31,0.005085406847577313,-0.02341812,-0.016401602153265353,-0.01637590806364802,-0.01637590806364802,-0.017012042298249538
2014-04-30,0.02272410194701792,0.04564122,0.04689524645030678,0.04689524645030678,0.04617855100202249,0.04617855100202249
2014-05-30,0.020154515596939045,0.033388881846319995,0.02550123754513403,0.025407091561998954,0.01760876547237226,0.01760876547237226
2014-06-30,-0.013389811629077984,-0.02279922,-0.02375287743852122,-0.02367365329236946,-0.0054497475262983985,-0.0054497475262983985
2014-07-31,0.04161934152718109,0.044969789999999996,0.03948015470925775,0.03956415145564253,0.046039276312401685,0.046039276312401685
2014-08-29,-0.01353112095663686,-0.021666190000000002,-0.016040163461761684,-0.015952776337133785,-0.008926716769544851,-0.008926716769544851
