strategy,arm,lam,oos_start,n_mo,net_ann,to_mo,net_ir,minus_static,ci_lo,ci_hi,p,net_ir_2013,obj
value,ridge_flexible,1.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.18688007309750437
value,mlp_conservative,1.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.18688007309750437
value,mlp_flexible,1.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.18688007309750437
value,rebound_rule,1.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.18688007309750437
value,cluster_rule,1.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.18688007309750437
value,monthly,2.0,2001,299,0.003998741520298428,0.0544895346388831,0.04046349534874606,-0.04426705478443517,-0.19596469742883188,0.09580480522908305,0.5332,-0.05811275256137131,-1.303750089812896
value,static,2.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.3803735183163831
value,gbm_conservative,2.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.3803735183163831
value,gbm_flexible,2.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.3803735183163831
value,ridge_conservative,2.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.3803735183163831
value,ridge_flexible,2.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.3803735183163831
value,mlp_conservative,2.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.3803735183163831
value,mlp_flexible,2.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.3803735183163831
value,rebound_rule,2.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.3803735183163831
value,monthly,5.0,2001,299,0.003998741520298428,0.0544895346388831,0.04046349534874606,-0.04426705478443517,-0.19596469742883188,0.09580480522908305,0.5332,-0.05811275256137131,-3.2653733368126865
value,static,5.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.9608538539730191
value,gbm_conservative,5.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.9608538539730191
value,gbm_flexible,5.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.9608538539730191
value,ridge_conservative,5.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.9608538539730191
value,ridge_flexible,5.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.9608538539730191
value,mlp_conservative,5.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.9608538539730191
value,mlp_flexible,5.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.9608538539730191
value,rebound_rule,5.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.9608538539730191
