date,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12
2018-01-31,0.2435,0.3120,0.2618,0.3075,0.3666,0.3892,0.4506,0.5165,0.4941,0.4288,0.3788,0.3032
2018-02-28,0.2352,0.3876,0.3799,0.3605,0.5071,0.6244,0.6367,0.7154,0.6221,0.5650,0.5024,0.3826
2018-03-29,-0.0794,0.0908,0.0614,-0.1209,-0.1661,-0.0545,0.0289,0.0579,0.0881,0.0010,-0.0245,-0.1260
2018-04-30,0.1415,0.2295,0.3422,0.4677,0.5941,0.6045,0.6915,0.7302,0.6874,0.6940,0.6324,0.5535
2018-05-31,0.1651,0.2757,0.2059,0.2338,0.3920,0.6189,0.6391,0.7801,0.7160,0.6478,0.6195,0.4425
2018-06-29,0.3364,0.2926,0.3189,0.3670,0.4536,0.6030,0.7504,0.7371,0.6666,0.5684,0.5434,0.4715
2018-07-31,0.0452,0.3155,0.3197,0.3968,0.4962,0.6088,0.7348,0.8828,0.8755,0.8577,0.8288,0.7551
2018-08-31,-0.1423,-0.0370,0.1058,0.1202,0.2214,0.2961,0.3643,0.4813,0.5014,0.4469,0.3650,0.2490
2018-09-28,0.3854,0.2491,0.2053,0.3538,0.3970,0.4542,0.5031,0.5911,0.6054,0.5256,0.4903,0.3544
2018-10-31,0.0308,0.2743,0.1531,0.1473,0.3533,0.4202,0.4294,0.4465,0.4350,0.4382,0.3751,0.2962
2018-11-30,-0.2903,-0.3213,-0.2096,-0.2702,-0.1197,0.0980,0.2117,0.2655,0.2641,0.2460,0.2618,0.1694
2018-12-31,-0.6671,-0.7088,-0.6561,-0.4429,-0.4509,-0.2548,-0.0920,0.0179,0.0763,0.1038,0.0991,0.0739
2019-01-31,-1.2139,-1.2230,-1.2335,-1.1986,-1.2527,-1.1513,-1.0745,-0.9589,-0.9355,-0.7828,-0.7280,-0.6928
2019-02-28,-0.0059,0.0614,0.0510,0.0417,0.0989,0.2241,0.2471,0.3283,0.4479,0.4547,0.4187,0.3526
2019-03-29,0.1290,0.4873,0.3166,0.2131,0.1841,0.2938,0.4525,0.4015,0.4258,0.4596,0.4405,0.3244
2019-04-30,0.0366,0.1163,0.2032,0.0775,0.0503,0.0479,0.0840,0.2146,0.1046,0.0952,0.1121,0.0474
2019-05-31,-0.1151,0.0717,0.1140,0.2552,0.2328,0.2492,0.2677,0.3095,0.3547,0.2512,0.2405,0.2116
2019-06-28,-0.5953,-0.6557,-0.5822,-0.5054,-0.2798,-0.4026,-0.5029,-0.5309,-0.5954,-0.5816,-0.5700,-0.6147
2019-07-31,-0.2601,-0.1541,-0.2157,-0.1462,-0.0349,0.1662,0.1053,0.1352,0.0420,-0.0200,0.0151,-0.0670
2019-08-30,-0.5086,-0.4705,-0.5459,-0.5107,-0.3939,-0.2580,-0.1120,-0.1672,-0.2629,-0.3141,-0.3183,-0.3504
2019-09-30,-0.5193,-0.6580,-0.7256,-0.7411,-0.7075,-0.5534,-0.4443,-0.2909,-0.3868,-0.5258,-0.5623,-0.6230
2019-10-31,-0.3535,-0.2779,-0.5162,-0.5519,-0.5266,-0.4606,-0.3353,-0.2043,-0.0949,-0.2153,-0.3131,-0.4961
2019-11-29,-0.2038,-0.2426,-0.2312,-0.3551,-0.3487,-0.2424,-0.1770,-0.0410,-0.0067,0.0379,-0.0068,-0.2002
2019-12-31,-0.1448,-0.2245,-0.3392,-0.3546,-0.4088,-0.3673,-0.3110,-0.2667,-0.2441,-0.2559,-0.1882,-0.3383
2020-01-31,0.0826,0.1399,0.0755,-0.0318,0.0869,0.1145,0.1309,0.1959,0.1718,0.1491,0.1470,0.0504
2020-02-28,0.2801,0.4259,0.3555,0.3332,0.2657,0.3480,0.3227,0.3165,0.3110,0.3324,0.3688,0.3419
2020-03-31,0.0216,0.2036,0.2364,0.2118,0.2114,0.1573,0.1051,0.0362,0.0054,-0.0752,-0.0772,-0.1692
2020-04-30,-1.0364,-1.0208,-0.6466,-0.5937,-0.6498,-0.6466,-0.7491,-0.7955,-0.7601,-0.7098,-0.7415,-0.7149
2020-05-29,0.1832,0.2565,0.3696,0.3617,0.4099,0.4372,0.3717,0.3690,0.3568,0.2953,0.2415,0.1791
2020-06-30,0.3695,0.6423,-0.0427,-0.1217,-0.1068,-0.0483,-0.0108,0.0072,0.0313,0.0354,-0.0199,-0.0811
2020-07-31,0.4074,0.5538,0.5604,0.5320,0.5851,0.5459,0.5390,0.5568,0.5125,0.4987,0.4332,0.3749
2020-08-31,0.0796,0.2098,0.1061,0.1453,0.0711,0.1037,0.0983,0.0917,0.0177,-0.0325,-0.0768,-0.1438
2020-09-30,0.0347,0.2554,0.3260,0.3526,0.4699,0.5497,0.5624,0.4564,0.4604,0.3815,0.3373,0.2539
2020-10-30,-0.0153,-0.0217,0.0707,0.1927,0.2955,0.3957,0.3120,0.3379,0.2103,0.1729,0.1160,0.0220
2020-11-30,-0.1501,-0.0822,-0.0667,0.0034,0.2394,0.3960,0.4502,0.5057,0.5665,0.4946,0.4842,0.4176
2020-12-31,0.6144,0.4794,0.3695,0.3291,0.3632,0.5729,0.7299,0.7823,0.4642,0.3870,0.3444,0.3101
2021-01-29,0.5613,0.7328,0.5860,0.5752,0.5981,0.6689,0.8158,0.9043,0.9083,0.6987,0.5708,0.4703
2021-02-26,0.1018,0.0645,0.0609,-0.0606,-0.1393,-0.1555,-0.1938,-0.2287,-0.3115,-0.3126,-0.2739,-0.2641
2021-03-31,-0.2622,0.0392,-0.0534,-0.1772,-0.2859,-0.2984,-0.2949,-0.3017,-0.3494,-0.3894,-0.3783,-0.3455
2021-04-30,-0.2335,-0.3434,-0.1003,-0.1918,-0.2765,-0.3074,-0.2921,-0.2741,-0.2766,-0.2912,-0.3216,-0.3114
2021-05-28,-0.1890,-0.2720,-0.3231,-0.2670,-0.2332,-0.3454,-0.3909,-0.3983,-0.4240,-0.3840,-0.3737,-0.4008
2021-06-30,-0.2737,-0.3295,-0.3145,-0.3878,-0.2841,-0.2412,-0.3141,-0.3496,-0.3482,-0.3411,-0.2760,-0.2924
2021-07-30,0.1934,0.1713,0.0883,-0.0173,0.0991,0.2027,0.2526,0.3415,0.2294,0.0739,-0.0176,-0.1117
2021-08-31,-0.1128,-0.0733,-0.1125,-0.2566,-0.3080,-0.3848,-0.2894,-0.3144,-0.4167,-0.4437,-0.3621,-0.4049
2021-09-30,-0.2453,-0.3614,-0.3437,-0.4492,-0.4872,-0.5215,-0.5219,-0.3819,-0.3808,-0.3962,-0.3972,-0.3920
2021-10-29,-0.3335,-0.3432,-0.4379,-0.4480,-0.5586,-0.4647,-0.5931,-0.6240,-0.5482,-0.4513,-0.3911,-0.4875
2021-11-30,-0.3311,-0.3466,-0.3707,-0.4468,-0.4711,-0.5323,-0.5367,-0.6039,-0.6471,-0.4805,-0.3377,-0.3851
2021-12-31,-0.4813,-0.5566,-0.5584,-0.6178,-0.6971,-0.6158,-0.6735,-0.6576,-0.7276,-0.6764,-0.4305,-0.3444
2022-01-31,-0.6191,-0.6215,-0.6371,-0.6939,-0.6717,-0.6497,-0.6280,-0.6488,-0.5887,-0.6681,-0.6182,-0.5497
2022-02-28,-0.8036,-0.8322,-0.8123,-0.8063,-0.8004,-0.6804,-0.6471,-0.5441,-0.5477,-0.5381,-0.6219,-0.6598
2022-03-31,-0.4714,-0.5990,-0.7418,-0.7496,-0.7413,-0.6692,-0.6393,-0.6478,-0.5857,-0.5780,-0.5927,-0.6881
2022-04-29,0.2428,0.3068,0.1900,0.0700,-0.0389,-0.0305,0.0611,0.0809,-0.0380,0.0727,0.2045,0.1836
2022-05-31,-1.0604,-0.7564,-0.8084,-0.9677,-1.1250,-1.1671,-1.1952,-1.1514,-1.1055,-1.1322,-1.0415,-0.9218
2022-06-30,-0.8697,-1.1462,-0.8918,-0.9106,-0.9855,-1.0669,-1.1107,-1.1303,-1.0686,-1.0380,-1.0710,-1.0030
2022-07-29,-0.6653,-0.8170,-1.1659,-1.0157,-1.0728,-1.1411,-1.2446,-1.2959,-1.3232,-1.2637,-1.2331,-1.2460
2022-08-31,-0.3016,-0.1851,-0.4011,-0.7253,-0.6478,-0.6700,-0.7662,-0.8803,-0.9295,-0.9478,-0.9051,-0.9034
2022-09-30,-0.2136,-0.1082,-0.1396,-0.3578,-0.7470,-0.7646,-0.8486,-0.9680,-1.0806,-1.1245,-1.1245,-1.1032
2022-10-31,-0.7074,-0.5562,-0.5601,-0.5316,-0.7742,-1.0567,-1.0871,-1.1442,-1.1878,-1.2268,-1.2624,-1.2756
2022-11-30,-0.5946,-0.6299,-0.3744,-0.3104,-0.2823,-0.4892,-0.7732,-0.7011,-0.7838,-0.8719,-0.9587,-1.0490
