combo,n_features,fold,hmm_seed,n_xgb_seeds,val_ir,val_sharpe,n_val_months,hmm_sec,xgb_sec
DD+TERM,2,102,3,5,-0.7868941521682354,1.0987393704004933,12,56.0,19.5
DD+TERM,2,103,1,5,1.4768977178454699,2.7135568426226477,12,58.8,20.5
DD+TERM,2,103,2,5,0.7573345792930296,2.117323195016797,12,58.5,20.4
DD+TERM,2,103,3,5,0.9257136469079469,1.9676158254736216,12,58.9,20.4
DD+TERM,2,104,1,5,0.39356205074999706,1.140950911395619,12,61.0,21.5
DD+TERM,2,104,2,5,0.4241543137111159,1.145390597996823,12,61.2,21.5
DD+TERM,2,104,3,5,0.11225589311743824,1.008098294379648,12,61.4,21.7
DD+TERM,2,105,1,5,-0.6670518918266347,-0.3956327189514628,12,63.5,22.2
DD+TERM,2,105,2,5,-1.2795451903150221,-0.5990842021337899,12,63.8,22.3
DD+TERM,2,105,3,5,-0.06463947021775417,-0.09088073613030698,12,63.6,22.1
DD+TERM,2,106,1,5,0.8786900486248299,2.08257059490621,12,66.8,23.1
DD+TERM,2,106,2,5,0.9367145581761344,2.1010102181069104,12,66.4,23.4
DD+TERM,2,106,3,5,1.013187742044378,2.227526634195008,12,66.4,23.2
DD+TERM,2,107,1,5,-1.14988905533671,2.0060974920777808,12,69.5,24.1
DD+TERM,2,107,2,5,-1.206158917050247,1.7316104208717282,12,69.1,24.1
DD+TERM,2,107,3,5,-1.6369918326299342,2.310080966471386,12,68.9,24.0
DD+TERM,2,108,1,5,-0.2995975594121979,-0.18971191410721108,12,71.7,24.6
DD+TERM,2,108,2,5,-0.5592552798191242,-0.31747216423901514,12,71.9,24.5
DD+TERM,2,108,3,5,-0.41454145465303743,-0.251349795945169,12,71.2,24.9
DD+TERM,2,109,1,5,0.9507503447647971,2.151907544742661,12,74.5,25.7
DD+TERM,2,109,2,5,0.7672644522340977,2.522161337709738,12,74.8,25.7
DD+TERM,2,109,3,5,0.6661940417949213,2.1374028710950377,12,74.2,25.7
DD+TERM,2,110,1,5,1.6129656994602013,1.3486623168086045,12,77.0,26.6
