date,year,rule,combo,strat_ret,bench_ret,pi
2012-03-30,2012,argmax,DD+SKEW+TERM,-0.0379415552247757,-0.007538422900749915,0.006799709198012452
2012-04-30,2012,argmax,DD+SKEW+TERM,-0.04732749732297634,-0.060852882227490634,0.0019097501627302893
2012-05-31,2012,argmax,DD+SKEW+TERM,0.025018553865600705,0.037969372471791274,0.9615017483506365
2012-06-29,2012,argmax,DD+SKEW+TERM,0.01048364851596173,0.010175532416782618,0.8652709105820068
2012-07-31,2012,argmax,DD+SKEW+TERM,0.04201885648501076,0.02532845813174698,0.5124951271196359
2012-08-31,2012,argmax,DD+SKEW+TERM,0.008112918738995082,0.026025544690747256,0.10370504112983475
2012-09-28,2012,argmax,DD+SKEW+TERM,-0.020895094119226965,-0.016915947757991854,0.019324736835041233
2012-10-31,2012,argmax,DD+SKEW+TERM,0.018670783078082454,0.007014877644883604,0.0033378155314544716
2012-11-30,2012,argmax,DD+SKEW+TERM,-0.014296712064181176,0.010282307151326768,0.0016872344276710818
2012-12-31,2012,argmax,DD+SKEW+TERM,-0.01298043884746365,0.05479265600750827,0.005763114479312489
2013-01-31,2013,rule_r,DD,0.0006424135906456244,0.01318133889391701,0.002303861124260074
2013-02-28,2013,rule_r,DD,0.037354471727954544,0.03967203963913761,0.002304009768260607
2013-03-28,2013,rule_r,DD,0.025524234231829212,0.016920687394622963,0.00230401689266874
2013-04-30,2013,rule_r,DD,0.03172585624905473,0.026600366829474406,0.0023040172341503113
2013-05-31,2013,rule_r,DD,-0.061127221156939866,-0.012994067839781272,0.002304017250518583
2013-06-28,2013,rule_r,DD,0.08980280068373199,0.05522835995467278,0.0026201709322079964
2013-07-31,2013,rule_r,DD,-0.017678593825180902,-0.02691348053178278,0.002319170243489768
2013-08-30,2013,rule_r,DD,0.05481895177328115,0.03576475361041438,0.004719706538794744
2013-09-30,2013,rule_r,DD,0.042829257092186435,0.043218903217536776,0.002420010221176219
2013-10-31,2013,rule_r,DD,0.05655931789075321,0.030105844067958167,0.0023095761809178703
2013-11-29,2013,rule_r,DD,0.022915651467966775,0.026797828600796086,0.002304283647069802
2013-12-31,2013,rule_r,DD,0.00845923216309418,-0.03352396174525577,0.002304030018040878
2013-01-31,2013,argmax,DD+VOL,0.0013442324389882554,0.01318133889391701,0.0009873449695992965
2013-02-28,2013,argmax,DD+VOL,0.033784013386960327,0.03967203963913761,0.0023969028167226993
2013-03-28,2013,argmax,DD+VOL,0.0030942836951099923,0.016920687394622963,0.00043321846525999776
