date,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12
2018-12-31,0.8297,0.2232,0.0501,-0.2218,-0.2386,-0.3137,-0.3996,-0.4563,-0.4694,-0.4573,-0.4669,-0.4477
2019-01-31,0.9822,0.5866,0.6433,0.6126,0.4405,0.3089,0.2128,0.0845,0.0136,-0.0264,-0.0473,-0.0164
2019-02-28,0.6612,0.0816,-0.1523,-0.3676,-0.2556,-0.1954,-0.1652,-0.1730,-0.1615,-0.1399,-0.0694,0.0044
2019-03-29,0.2004,0.0221,-0.0567,-0.1508,-0.2958,-0.4066,-0.5195,-0.4754,-0.4865,-0.4828,-0.4597,-0.3512
2019-04-30,0.2854,0.1980,0.2883,0.2610,0.2359,0.0522,-0.0693,-0.2174,-0.1822,-0.2266,-0.2213,-0.0890
2019-05-31,-0.0638,-0.2072,-0.1673,-0.1548,-0.2485,-0.3624,-0.3922,-0.4575,-0.4479,-0.3661,-0.3849,-0.2618
2019-06-28,0.0012,-0.0802,0.0686,0.1573,0.1187,0.0819,-0.0209,-0.0585,-0.0730,-0.0785,-0.0422,0.0019
2019-07-31,0.1030,-0.5981,-0.4781,-0.3373,-0.3143,-0.2826,-0.2781,-0.3724,-0.3774,-0.4030,-0.3244,-0.2459
2019-08-30,0.2433,0.1208,0.0755,0.0589,-0.0771,-0.1714,-0.2206,-0.2808,-0.3439,-0.3181,-0.3444,-0.2467
2019-09-30,0.1246,0.0623,0.0688,0.0616,-0.0295,-0.1718,-0.2397,-0.3201,-0.3292,-0.3145,-0.2765,-0.2008
2019-10-31,0.1412,-0.0392,-0.0214,-0.1016,-0.1709,-0.2537,-0.3335,-0.4252,-0.5175,-0.4105,-0.4062,-0.2058
2019-11-29,0.1621,0.1207,0.0288,-0.0037,-0.0801,-0.2838,-0.3744,-0.4736,-0.5467,-0.5431,-0.5778,-0.4727
2019-12-31,0.0703,0.0466,0.0988,0.0092,-0.1010,-0.2175,-0.3105,-0.3789,-0.4191,-0.4367,-0.4415,-0.3458
2020-01-31,0.3208,0.1079,0.1350,0.1711,-0.0298,-0.1566,-0.2205,-0.3368,-0.3769,-0.3340,-0.3947,-0.1245
2020-02-28,0.0043,-0.0787,-0.0255,-0.0246,-0.0370,-0.2140,-0.2842,-0.3165,-0.3451,-0.3603,-0.3754,-0.3189
2020-03-31,0.2914,0.0275,0.0138,-0.0154,-0.0404,-0.0578,-0.1026,-0.1035,-0.1114,-0.1355,-0.1417,-0.1313
2020-04-30,1.0240,0.8349,0.5344,0.4979,0.4267,0.3504,0.3520,0.3125,0.2745,0.2344,0.2554,0.2567
2020-05-29,0.6745,-0.6807,-0.8635,-0.6941,-0.6455,-0.6391,-0.6096,-0.6030,-0.6369,-0.6117,-0.5797,-0.5883
