date,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12
2017-09-29,-0.2299,-0.2883,-0.2688,-0.2920,-0.2694,0.0232,0.1785,0.3028,0.2256,0.0967,-0.0251,-0.1717
2017-10-31,0.2357,0.4642,0.3820,0.3869,0.6254,0.7626,1.0131,1.1560,1.1815,1.0924,1.0645,0.8217
2017-11-30,-0.0866,0.2094,0.2152,0.2065,0.3348,0.6151,0.8239,0.9622,0.9743,0.9515,0.9266,0.5739
2017-12-29,-0.0573,0.0762,-0.0457,0.0888,0.1880,0.3709,0.6379,0.8422,0.8515,0.8516,0.8481,0.6830
2018-01-31,0.0781,0.2717,0.2190,0.1633,0.3484,0.4386,0.5664,0.7332,0.7762,0.6750,0.6336,0.4964
2018-02-28,0.1914,0.4814,0.4216,0.4870,0.6726,0.9111,1.0023,1.1324,1.0948,1.0641,0.9709,0.7778
2018-03-29,0.0146,0.4480,0.0728,-0.3913,-0.3656,-0.2635,-0.0813,0.0388,0.0811,-0.0601,-0.0556,-0.2471
2018-04-30,0.1074,0.3778,0.5043,0.6039,0.8922,1.0227,1.1551,1.2505,1.2411,1.2590,1.2152,1.1186
2018-05-31,0.2309,0.4211,0.3140,0.3736,0.6090,1.0306,1.1423,1.3159,1.2735,1.2094,1.1916,0.9265
2018-06-29,0.3480,0.3358,0.3985,0.4601,0.7231,0.9430,1.2046,1.1980,1.1176,1.0107,0.9842,0.8889
2018-07-31,-0.1462,0.3487,0.3104,0.4470,0.6846,0.9247,1.1276,1.3902,1.3989,1.3148,1.3051,1.1770
2018-08-31,-0.2582,-0.1755,-0.0260,-0.0360,0.1881,0.3798,0.5491,0.7378,0.8481,0.7699,0.6112,0.3933
2018-09-28,0.3834,0.3401,0.1194,0.3083,0.3710,0.5184,0.6450,0.7911,0.8329,0.7629,0.8011,0.4862
2018-10-31,-0.0591,0.3348,0.0915,-0.0007,0.4103,0.5676,0.5789,0.6484,0.6523,0.6433,0.5654,0.4450
2018-11-30,-0.2445,-0.2915,-0.3297,-0.5389,-0.3503,0.0917,0.3616,0.4749,0.5134,0.5111,0.5599,0.3564
2018-12-31,-1.4895,-0.9375,-0.7134,-0.2302,-0.2176,0.0586,0.3015,0.4696,0.5434,0.5568,0.5582,0.5154
2019-01-31,-2.1995,-1.8017,-1.8743,-1.8034,-1.6834,-1.4541,-1.2822,-1.0419,-0.9414,-0.7487,-0.6721,-0.6708
