combo,n_features,fold,hmm_seed,n_xgb_seeds,fee,val_sharpe,n_val_months,hmm_elapsed_sec,xgb_elapsed_sec
DD+VOL+CS,3,4,1,5,0.001,1.2320730671516231,24,56.91789126396179,69.48874187469482
DD+VOL+CS,3,4,2,5,0.001,0.7094302483361071,24,56.821388959884644,68.71748495101929
DD+VOL+LVIX,3,1,0,5,0.001,0.8683109192601004,24,30.629663944244385,38.269187927246094
DD+VOL+CS,3,5,0,5,0.001,1.0244758051985858,24,65.77917718887329,81.77820110321045
DD+VOL+CS,3,5,1,5,0.001,0.29217620972810765,24,65.58517694473267,84.3833589553833
DD+VOL+CS,3,5,2,5,0.001,0.5819134309336951,24,65.61258816719055,84.27907514572144
DD+VOL+LVIX,3,1,1,5,0.001,0.5603189966529402,24,30.164300203323364,37.90289092063904
DD+VOL+LVIX,3,1,2,5,0.001,1.1296890611244754,24,30.41923189163208,37.037625789642334
DD+VOL+LVIX,3,2,0,5,0.001,0.45985851577619696,24,38.643990993499756,47.40932011604309
DD+VOL+LVIX,3,2,1,5,0.001,0.4371350513988774,24,38.72131013870239,49.09086298942566
DD+VOL+LVIX,3,2,2,5,0.001,0.3703117742685308,24,38.46215081214905,50.79423809051514
DD+VOL+LVIX,3,3,0,5,0.001,-0.17870366270019875,24,48.263012170791626,59.84921073913574
DD+VOL+LVIX,3,3,1,5,0.001,-0.3238806308688633,24,49.3075008392334,60.76421618461609
DD+VOL+LVIX,3,3,2,5,0.001,-0.3459235158143084,24,48.94106435775757,60.786558866500854
DD+VOL+LVIX,3,4,0,5,0.001,0.11845437582656639,24,56.34901809692383,67.16138887405396
DD+VOL+LVIX,3,4,1,5,0.001,1.1998330450405708,24,56.2532799243927,67.94110298156738
DD+VOL+LVIX,3,4,2,5,0.001,0.42911460888769876,24,56.90847420692444,68.94386196136475
DD+VOL+LVIX,3,5,0,5,0.001,0.5527259491196829,24,65.54949808120728,80.47164177894592
DD+VOL+LVIX,3,5,1,5,0.001,-0.21169176816063334,24,66.76875805854797,83.20696425437927
DD+VOL+LVIX,3,5,2,5,0.001,0.48550311412870367,24,66.17262983322144,82.73489093780518
DD+VOL+DISP,3,1,0,5,0.001,0.7395612330331608,24,30.801926851272583,37.400595903396606
DD+VOL+DISP,3,1,1,5,0.001,0.17879801369225623,24,30.584285974502563,37.57468104362488
DD+VOL+DISP,3,1,2,5,0.001,1.2745684932399783,24,30.794616222381592,35.05195379257202
DD+VOL+DISP,3,2,0,5,0.001,0.12209618095142019,24,38.32539916038513,46.880358934402466
DD+VOL+DISP,3,2,1,5,0.001,0.4628264779272565,24,38.600918769836426,48.525315046310425
DD+VOL+DISP,3,2,2,5,0.001,0.7026401842973179,24,38.37303709983826,50.63471603393555
DD+VOL+DISP,3,3,0,5,0.001,-0.3788668068546888,24,47.28625798225403,58.97518301010132
DD+VOL+DISP,3,3,1,5,0.001,-0.4957583185359925,24,47.3533661365509,60.171936988830566
DD+VOL+DISP,3,3,2,5,0.001,-0.5524011912859046,24,47.32934594154358,56.48590087890625
DD+VOL+DISP,3,4,0,5,0.001,0.5365148882281637,24,55.06707692146301,64.19437503814697
DD+VOL+DISP,3,4,1,5,0.001,1.025559663825206,24,55.71236801147461,66.85470795631409
DD+VOL+DISP,3,4,2,5,0.001,0.867854683288316,24,55.87867188453674,67.81321215629578
DD+VOL+DISP,3,5,0,5,0.001,0.4517175014431496,24,64.54411315917969,79.48376393318176
DD+VOL+REL_N,3,1,0,5,0.001,-0.019347654051391817,24,29.06500816345215,39.025617837905884
DD+VOL+DISP,3,5,1,5,0.001,-0.28984412193368203,24,64.80372309684753,83.1117250919342
DD+VOL+DISP,3,5,2,5,0.001,0.4052551765283395,24,64.49074292182922,82.12235498428345
DD+VOL+REL_N,3,1,1,5,0.001,0.589352208185522,24,29.4779109954834,36.75609517097473
DD+VOL+REL_N,3,1,2,5,0.001,0.5460187108146025,24,29.179084062576294,36.22413492202759
DD+VOL+REL_N,3,2,0,5,0.001,0.5396119837172312,24,38.53502297401428,46.71429395675659
DD+VOL+REL_N,3,2,1,5,0.001,-0.05162791653862206,24,37.66693997383118,44.83814597129822
