name,combo,sh_xgb,sh_lr,min_ess,n_sig
DD+DISP+ADR,"['DD_z', 'DISP_z', 'ADR_z']",0.6034568206960977,-0.0556977730023518,1019.716527713089,3
DD+VOL+REL_N,"['DD_z', 'VOL_z', 'REL_N_z']",0.5819826368990253,-0.04790329150954817,516.532829488566,3
DD+VOL+REL_N+TERM,"['DD_z', 'VOL_z', 'REL_N_z', 'TERM_z']",0.5803626034881249,-0.0959696165733976,273.8451278158488,4
DD+VOL+REL_N+CS,"['DD_z', 'VOL_z', 'REL_N_z', 'CS_z']",0.5763352784042147,-0.05798875361807415,807.2001242946305,4
DD+SKEW+TERM,"['DD_z', 'SKEW_z', 'TERM_z']",0.5720281649470952,-0.0596906134842653,923.0983783623124,3
DD+VOL+CS+ADR,"['DD_z', 'VOL_z', 'CS_z', 'ADR_z']",0.5671688397776745,-0.04575482691331448,949.4745765282967,4
DD+DISP+REL_N+ADR,"['DD_z', 'DISP_z', 'REL_N_z', 'ADR_z']",0.5583985276380938,-0.06324991704990597,1243.9936544538052,3
DD+REL_N+LVIX,"['DD_z', 'REL_N_z', 'LVIX_z']",0.5570496455742274,-0.06548148245098068,556.9088548635145,3
DD+REL_N+CS+SKEW,"['DD_z', 'REL_N_z', 'CS_z', 'SKEW_z']",0.555786605998648,-0.06047482379913817,801.588431108432,4
DD+DISP+REL_N+LVIX,"['DD_z', 'DISP_z', 'REL_N_z', 'LVIX_z']",0.5460563238431222,-0.06745050396968995,436.83522334298385,4
DD+REL_N+ADR+SKEW,"['DD_z', 'REL_N_z', 'ADR_z', 'SKEW_z']",0.5418100145712156,-0.05095204300700189,991.6980611067954,3
DD+DISP+CS+SKEW,"['DD_z', 'DISP_z', 'CS_z', 'SKEW_z']",0.5332796943618505,-0.095530515252133,362.18000439713524,4
DD+DISP+SKEW,"['DD_z', 'DISP_z', 'SKEW_z']",0.5287017644095213,-0.046043770121799846,1186.9339821742392,3
DD+DISP+CS,"['DD_z', 'DISP_z', 'CS_z']",0.5280908200347791,-0.059023026915579015,370.428003956783,3
DD+CS+LVIX+ADR,"['DD_z', 'CS_z', 'LVIX_z', 'ADR_z']",0.5270017094739031,-0.05996374907498459,1039.1172387984345,4
DD+DISP+ADR+TERM,"['DD_z', 'DISP_z', 'ADR_z', 'TERM_z']",0.5232878013097659,-0.05043855516129146,1067.5055516861162,4
DD+LVIX+SKEW+TERM,"['DD_z', 'LVIX_z', 'SKEW_z', 'TERM_z']",0.5203456129329019,-0.03224902157774102,625.6907275540052,4
DD+VOL+ADR+SKEW,"['DD_z', 'VOL_z', 'ADR_z', 'SKEW_z']",0.5187780367243638,-0.05098959224878281,861.9772222046147,4
DD+DISP+TERM,"['DD_z', 'DISP_z', 'TERM_z']",0.5148280482648563,-0.07511038748023857,865.505117944113,2
DD+REL_N+CS+LVIX,"['DD_z', 'REL_N_z', 'CS_z', 'LVIX_z']",0.5107423619102519,-0.05683032291435033,750.3486629462627,4
DD+REL_N+LVIX+ADR,"['DD_z', 'REL_N_z', 'LVIX_z', 'ADR_z']",0.5092304132829812,-0.056109736638377004,1018.7301795834388,3
DD+DISP+SKEW+TERM,"['DD_z', 'DISP_z', 'SKEW_z', 'TERM_z']",0.5022865242183219,-0.10425213418823649,965.3863299104338,3
DD+DISP+ADR+SKEW,"['DD_z', 'DISP_z', 'ADR_z', 'SKEW_z']",0.5001963801068006,-0.058373704594077175,117.8912834801494,4
DD+VOL,"['DD_z', 'VOL_z']",0.48976323950233086,-0.051478362035962594,529.269255886558,2
DD+LVIX+ADR+SKEW,"['DD_z', 'LVIX_z', 'ADR_z', 'SKEW_z']",0.48936743474255834,-0.06391859887519262,186.42855562175296,4
DD+VOL+SKEW+TERM,"['DD_z', 'VOL_z', 'SKEW_z', 'TERM_z']",0.4892082688343871,-0.06315935479207659,236.80644162739628,3
DD+CS+ADR+TERM,"['DD_z', 'CS_z', 'ADR_z', 'TERM_z']",0.478847656514552,-0.0594321686067298,297.1730912089249,3
DD+CS+SKEW+TERM,"['DD_z', 'CS_z', 'SKEW_z', 'TERM_z']",0.47680892683533577,-0.04706309381022896,93.03990005334744,4
DD+VOL+REL_N+SKEW,"['DD_z', 'VOL_z', 'REL_N_z', 'SKEW_z']",0.46473768239630175,-0.07850462783980981,284.6207309973547,4
DD+VOL+LVIX+ADR,"['DD_z', 'VOL_z', 'LVIX_z', 'ADR_z']",0.45632383798443243,-0.062233155877315795,548.6842208918566,4
DD+VOL+REL_N+ADR,"['DD_z', 'VOL_z', 'REL_N_z', 'ADR_z']",0.44916825470110394,-0.05668860386717919,687.3064121569114,3
DD+SKEW,"['DD_z', 'SKEW_z']",0.44374808490009926,-0.06006027512379831,1177.3274668051936,2
DD+CS,"['DD_z', 'CS_z']",0.44311141726735154,-0.05588162669141262,333.8501604224446,2
DD+REL_N+SKEW,"['DD_z', 'REL_N_z', 'SKEW_z']",0.4385280520993046,-0.0517322174825069,364.77318512670325,3
DD+DISP+LVIX+ADR,"['DD_z', 'DISP_z', 'LVIX_z', 'ADR_z']",0.428225669324027,-0.05943998263737524,537.3009057601683,4
DD+CS+SKEW,"['DD_z', 'CS_z', 'SKEW_z']",0.42774200447766625,-0.07375569858941902,1182.4466473694931,3
