name,combo,n_feat,has_nfci,passed,min_ess,n_sig,ll,pi_Dot-com,pi_GFC,pi_COVID,pi_Non-crisis,pi_Calm 2013-19
DD+REL_N+CS+ADR,"['DD_z', 'REL_N_z', 'CS_z', 'ADR_z']",4,False,True,1107.12534566506,3,-912.9105239049502,0.8398878082150855,0.8605996071617705,0.775041100343832,0.09085714820991413,0.1428178921788979
DD+REL_N+CS+SKEW,"['DD_z', 'REL_N_z', 'CS_z', 'SKEW_z']",4,False,True,801.588431108432,4,-956.929821795251,0.867686246772515,0.869481334165501,0.7499969066688932,0.08451719351572129,0.09549842649054671
DD+REL_N+CS+TERM,"['DD_z', 'REL_N_z', 'CS_z', 'TERM_z']",4,False,False,6.820436298843325,4,-954.5601670725274,0.7429741975436895,0.8525237347412743,0.7503248600720827,0.3372447628199971,0.13406679169914565
DD+REL_N+CS+NFCI,"['DD_z', 'REL_N_z', 'CS_z', 'NFCI_z']",4,True,True,398.7317487180273,4,-602.3825079577962,0.9933452899753353,0.9999613494565882,0.7917970069184308,0.08923159629033173,0.1296786847661328
DD+REL_N+LVIX+ADR,"['DD_z', 'REL_N_z', 'LVIX_z', 'ADR_z']",4,False,True,1018.7301795834388,3,-1000.6889342326485,0.8850254572010433,0.8547791941681598,0.7592530518723233,0.10786669480516124,0.09440813516057453
DD+REL_N+LVIX+SKEW,"['DD_z', 'REL_N_z', 'LVIX_z', 'SKEW_z']",4,False,True,1061.0238258721863,3,-1058.4116899119135,0.9967303000394493,0.9979496432586983,0.7499981402028424,0.26919412747021537,0.06357254164769635
DD+REL_N+LVIX+TERM,"['DD_z', 'REL_N_z', 'LVIX_z', 'TERM_z']",4,False,True,1060.7880654365536,3,-1050.4888486223285,0.9994684483119054,0.9964068243422333,0.978982110648297,0.10079411892224976,0.09772744315792245
DD+REL_N+LVIX+NFCI,"['DD_z', 'REL_N_z', 'LVIX_z', 'NFCI_z']",4,True,False,19.4193864113045,4,-690.548792573105,0.9955578315169975,0.9999840906212981,0.7798974319757201,0.15101423779749953,0.05934016945765008
DD+REL_N+ADR+SKEW,"['DD_z', 'REL_N_z', 'ADR_z', 'SKEW_z']",4,False,True,991.6980611067954,3,-1100.2870060604237,0.9140334089062466,0.8564974688331212,0.7498760082725597,0.11145251042573527,0.08818928949698067
DD+REL_N+ADR+TERM,"['DD_z', 'REL_N_z', 'ADR_z', 'TERM_z']",4,False,False,1253.7116596532296,3,-1120.6234693312313,0.7419979860803823,0.8499167544326205,0.7364738147637155,0.41637495880685454,0.12181811007459578
